query,link,score_description,score,,Searches - GA4 Item-list view events (3 months Feb to April),Clicks - GA4 Item-list click events (3 months Feb to April),Item-list CTR,Weighted sort (Expected True Value),clusterID
asa,,,,,52,6,12%,62.98%,1165
pso,,,,,52,6,12%,62.98%,1235
personal registration,,,,,125,52,42%,62.98%,268
tell hmrc about unpaid tax from previous years,/government/publications/hmrc-your-guide-to-making-a-disclosure/your-guide-to-making-a-disclosure,3 perfect,3,,71,18,25%,62.98%,12
charity organizations,,,,,71,18,25%,62.98%,374
emergency support scheme,,,,,71,18,25%,62.98%,401
business expenses,,,,,144,64,44%,62.98%,424
vat 7 form,,,,,63,13,21%,62.98%,960
provide,,,,,55,8,15%,62.98%,377
aquind,,,,,55,8,15%,62.98%,1331
high voltage,,,,,120,49,41%,62.98%,256
deed of trust,,,,,93,32,34%,62.98%,1027
electrical safety,,,,,66,15,23%,62.98%,228
astrazeneca,,,,,66,15,23%,62.98%,1252
aplication,,,,,112,44,39%,62.98%,217
savings and benefits,,,,,85,27,32%,62.98%,78
public records,,,,,85,27,32%,62.98%,272
apply for grant,,,,,85,27,32%,62.98%,793
house hold fund,,,,,58,10,17%,62.98%,67
pig,,,,,58,10,17%,62.98%,148
pat testing,,,,,58,10,17%,62.98%,243
mdr,,,,,158,73,46%,62.98%,1430
charity organization,,,,,77,22,29%,62.98%,374
check the status of an application you have already made,,,,,50,5,10%,62.98%,764
locator form,,,,,69,17,25%,62.98%,207
tow at,,,,,69,17,25%,62.98%,1368
link id,,,,,69,17,25%,62.98%,1453
justice,,,,,142,63,44%,62.98%,351
government funded courses,,,,,61,12,20%,62.98%,379
check ni number,/national-insurance,3 perfect,3,,61,12,20%,62.98%,466
comp 1,,,,,61,12,20%,62.98%,959
gardening,,,,,61,12,20%,62.98%,1197
cambridge,,,,,80,24,30%,62.98%,1207
claim forms,,,,,53,7,13%,62.98%,204
receptionist,,,,,53,7,13%,62.98%,297
renew resident permit,,,,,53,7,13%,62.98%,415
2016,,,,,53,7,13%,62.98%,986
ex,,,,,53,7,13%,62.98%,1065
font,,,,,53,7,13%,62.98%,1243
contest,,,,,99,36,36%,62.98%,299
illegal,,,,,99,36,36%,62.98%,354
t1,,,,,118,48,41%,62.98%,119
renewable,,,,,64,14,22%,62.98%,238
tickets,,,,,64,14,22%,62.98%,442
wood,,,,,64,14,22%,62.98%,684
blackpool,,,,,64,14,22%,62.98%,1207
ramadan,,,,,137,60,44%,62.98%,1033
record,,,,,183,89,49%,62.98%,602
rules,,,,,83,26,31%,62.98%,363
office hours,,,,,56,9,16%,62.98%,92
horticulture,,,,,56,9,16%,62.98%,223
ni contrabutions,/check-national-insurance-record,3 perfect,3,,56,9,16%,62.98%,465
sponsor ship,,,,,56,9,16%,62.98%,497
status of my visa application,,,,,56,9,16%,62.98%,708
changes,,,,,148,67,45%,62.99%,804
eia,,,,,121,50,41%,62.99%,1248
evraz,,,,,94,33,35%,62.99%,547
sharp edges,,,,,94,33,35%,62.99%,567
return to application,,,,,67,16,24%,62.99%,792
bolton,,,,,67,16,24%,62.99%,1210
jacking vehicle,,,,,86,28,33%,62.99%,481
bar,,,,,59,11,19%,62.99%,169
bonded warehouse,,,,,59,11,19%,62.99%,416
bp,,,,,59,11,19%,62.99%,1306
youtube,,,,,105,40,38%,62.99%,760
primary reading,,,,,51,6,12%,62.99%,39
international license,,,,,124,52,42%,62.99%,797
baby,,,,,197,98,50%,62.99%,115
cash,,,,,162,76,47%,62.99%,434
church,,,,,62,13,21%,62.99%,349
return old passport,,,,,127,54,43%,62.99%,173
manager,,,,,100,37,37%,62.99%,48
rights,,,,,92,32,35%,62.99%,353
paperless,,,,,92,32,35%,62.99%,597
overpaid,,,,,65,15,23%,62.99%,268
metformin,,,,,65,15,23%,62.99%,1033
kit days,,,,,184,90,49%,62.99%,663
leaving,,,,,57,10,18%,62.99%,776
caregiver job,,,,,76,22,29%,62.99%,176
butcher,,,,,76,22,29%,62.99%,1276
fiance,,,,,149,68,46%,62.99%,1037
crypto tax,/guidance/check-if-you-need-to-pay-tax-when-you-sell-cryptoassets,3 perfect,3,,68,17,25%,62.99%,6
wife visa,,,,,68,17,25%,62.99%,703
calendar,,,,,68,17,25%,62.99%,803
esa overpayment,,,,,60,12,20%,62.99%,329
change my personal details,,,,,60,12,20%,62.99%,805
mia,,,,,60,12,20%,62.99%,1103
ptu,,,,,60,12,20%,62.99%,1228
notice 3001,,,,,79,24,30%,62.99%,843
radiographer,,,,,79,24,30%,62.99%,1349
child saving,,,,,52,7,13%,62.99%,104
vacation,,,,,52,7,13%,62.99%,214
court orders,,,,,52,7,13%,62.99%,359
express visa,,,,,52,7,13%,62.99%,705
guidance notes,,,,,52,7,13%,62.99%,837
unilever,,,,,52,7,13%,62.99%,1255
bill,,,,,98,36,37%,62.99%,362
safe,,,,,117,48,41%,62.99%,912
contact no,,,,,190,94,49%,62.99%,318
flight,,,,,63,14,22%,62.99%,500
cashless,,,,,63,14,22%,62.99%,598
somali passport,,,,,63,14,22%,62.99%,802
hmrc digital assistant,,,,,82,26,32%,62.99%,49
list of lawyers,,,,,55,9,16%,62.99%,767
swansea,,,,,55,9,16%,62.99%,1252
chelsea,,,,,55,9,16%,62.99%,1324
2nd passport,,,,,101,38,38%,62.99%,300
residence permit renewal,,,,,74,21,28%,62.99%,415
united nations,,,,,93,33,35%,62.99%,219
hardship loan,,,,,112,45,40%,62.99%,460
passport requirements,,,,,112,45,40%,62.99%,802
commercial vehicles,,,,,58,11,19%,62.99%,481
morrisons,,,,,58,11,19%,62.99%,1032
20 hours,,,,,104,40,38%,62.99%,972
investment bonds,,,,,77,23,30%,62.99%,391
pa12,,,,,77,23,30%,62.99%,850
help with driving lessons,,,,,50,6,12%,62.99%,68
adm,,,,,50,6,12%,62.99%,1402
t2,,,,,96,35,36%,62.99%,1226
police publications,,,,,169,81,48%,62.99%,314
how to get a utr number,,,,,169,81,48%,62.99%,929
reclaim,,,,,69,18,26%,62.99%,546
need extra support,,,,,115,47,41%,62.99%,68
you may need to use a second qr code,,,,,115,47,41%,62.99%,755
second home,,,,,88,30,34%,62.99%,160
registry,,,,,88,30,34%,62.99%,794
accident,,,,,161,76,47%,62.99%,331
saved application,,,,,61,13,21%,62.99%,268
bridge,,,,,61,13,21%,62.99%,488
post graduate loan,,,,,61,13,21%,62.99%,831
find a dentist,,,,,61,13,21%,62.99%,916
labour,,,,,134,59,44%,62.99%,350
gambling white paper,,,,,107,42,39%,62.99%,660
appointment date,,,,,80,25,31%,62.99%,321
acca,,,,,80,25,31%,62.99%,408
emergency loans,,,,,53,8,15%,62.99%,460
skills boot camps,/guidance/find-a-skills-bootcamp,3 perfect,3,,53,8,15%,62.99%,664
operators licence check,,,,,53,8,15%,62.99%,796
general power of attorney,,,,,99,37,37%,62.99%,326
minimum income guarantee,,,,,72,20,28%,62.99%,395
republic of ireland,,,,,72,20,28%,62.99%,1013
car insured,,,,,118,49,42%,62.99%,471
part time job,,,,,191,95,50%,62.99%,88
ni no,,,,,64,15,23%,62.99%,319
copy of divorce papers,,,,,64,15,23%,62.99%,322
re tests,,,,,83,27,33%,62.99%,197
download forms,,,,,83,27,33%,62.99%,203
fatigue,,,,,56,10,18%,62.99%,124
identification card,,,,,56,10,18%,62.99%,431
america visa,,,,,56,10,18%,62.99%,705
authenticator,,,,,129,56,43%,62.99%,756
mrsa,,,,,102,39,38%,62.99%,1318
unmarried visa,,,,,75,22,29%,62.99%,703
ukranian,,,,,94,34,36%,62.99%,1012
e mail address,,,,,67,17,25%,62.99%,1455
disabled use,,,,,159,75,47%,62.99%,906
exercise,,,,,59,12,20%,62.99%,33
gv79 form,,,,,51,7,14%,62.99%,207
flexi,,,,,51,7,14%,62.99%,1323
deaf,,,,,124,53,43%,62.99%,1040
public service pensions,,,,,70,19,27%,62.99%,271
transfer of ownership,,,,,70,19,27%,62.99%,389
computing,,,,,89,31,35%,62.99%,236
account management,,,,,62,14,23%,62.99%,282
close a business,,,,,62,14,23%,62.99%,424
lss,,,,,62,14,23%,62.99%,1082
radicalisation,,,,,135,60,44%,62.99%,211
results,,,,,135,60,44%,62.99%,242
parent,,,,,108,43,40%,62.99%,103
civil service pensions,,,,,108,43,40%,62.99%,271
nuclear attack,,,,,81,26,32%,62.99%,503
pte,,,,,73,21,29%,62.99%,1130
rail,,,,,192,96,50%,62.99%,487
gifts to children,,,,,92,33,36%,62.99%,441
nmc,,,,,65,16,25%,62.99%,690
prime minister speech,,,,,65,16,25%,62.99%,1024
samaritans,,,,,65,16,25%,62.99%,1255
list of sponsorship companies,,,,,84,28,33%,62.99%,767
3,,,,,84,28,33%,62.99%,951
3 year funding,,,,,84,28,33%,62.99%,975
check passport validity,,,,,57,11,19%,62.99%,764
department of health and social care,,,,,130,57,44%,62.99%,189
auto enrolment,,,,,130,57,44%,62.99%,484
different engine,,,,,103,40,39%,62.99%,608
change of address dwp,,,,,103,40,39%,62.99%,805
visado,,,,,103,40,39%,62.99%,1033
press,,,,,95,35,37%,62.99%,853
phone alarm,,,,,95,35,37%,62.99%,857
geography,,,,,68,18,26%,62.99%,41
pay scales,,,,,68,18,26%,62.99%,699
buisness,,,,,114,47,41%,62.99%,1198
valid passport,,,,,87,30,34%,62.99%,801
race,,,,,87,30,34%,62.99%,989
conference,,,,,160,76,48%,62.99%,296
accidents,,,,,60,13,22%,62.99%,331
car rental,,,,,60,13,22%,62.99%,471
custom declaration,,,,,60,13,22%,62.99%,600
sizewell c,,,,,106,42,40%,62.99%,1478
my portal,,,,,52,8,15%,62.99%,758
renew residence permit,,,,,71,20,28%,62.99%,415
outdoor learning,,,,,90,32,36%,62.99%,38
cease self employment,,,,,90,32,36%,62.99%,196
carers addition,,,,,63,15,24%,62.99%,105
diesel car,,,,,63,15,24%,62.99%,471
nspcc,,,,,63,15,24%,62.99%,1308
hearing,,,,,82,27,33%,62.99%,332
removal,,,,,82,27,33%,62.99%,517
surgery,,,,,55,10,18%,62.99%,112
notices,,,,,55,10,18%,62.99%,843
badger culling,,,,,55,10,18%,62.99%,1252
emergency,,,,,74,22,30%,62.99%,511
certificate of uk residence,,,,,147,68,46%,62.99%,415
ilr visa,,,,,93,34,37%,62.99%,789
financial year,/change-your-companys-year-end,2 good,2,,66,17,26%,62.99%,14
financial year,/corporation-tax-accounting-period,2 good,2,,66,17,26%,62.99%,14
financial year,/guidance/change-your-charitys-financial-year,1 okay,1,,66,17,26%,62.99%,14
life time isa,,,,,66,17,26%,62.99%,87
education act,,,,,85,29,34%,62.99%,342
chikdcare account,,,,,58,12,21%,62.99%,282
questions,,,,,58,12,21%,62.99%,839
barnsley,,,,,58,12,21%,62.99%,1210
grace period,,,,,50,7,14%,62.99%,95
sw2,,,,,50,7,14%,62.99%,828
pra,,,,,50,7,14%,62.99%,1236
p1001,,,,,50,7,14%,62.99%,1289
companies act,,,,,69,19,28%,62.99%,342
recording,,,,,69,19,28%,62.99%,602
infrastructure,,,,,142,65,46%,62.99%,237
new starter check list,,,,,142,65,46%,62.99%,766
sign in pip,,,,,88,31,35%,62.99%,248
community benefit society,,,,,61,14,23%,62.99%,222
county court judgements,,,,,80,26,33%,62.99%,359
at a glance,,,,,80,26,33%,62.99%,591
sda,,,,,80,26,33%,62.99%,1147
conservation covenants,,,,,53,9,17%,62.99%,209
tefl,,,,,53,9,17%,62.99%,1093
cps,,,,,99,38,38%,62.99%,578
benefit over payment,,,,,72,21,29%,62.99%,457
whp,,,,,64,16,25%,62.99%,1271
police pensions,,,,,110,45,41%,62.99%,314
cit,,,,,83,28,34%,62.99%,1148
work pension,,,,,156,74,47%,62.99%,62
change school,/government/collections/school-organisation,0 bad,0,,56,11,20%,62.99%,22
change school,/schools-admissions,2 good,2,,56,11,20%,62.99%,22
new business grant,,,,,56,11,20%,62.99%,58
cooking,,,,,56,11,20%,62.99%,66
last will and testament,,,,,56,11,20%,62.99%,83
senior care assistant,,,,,56,11,20%,62.99%,191
investigation,,,,,56,11,20%,62.99%,288
emergency money,,,,,56,11,20%,62.99%,433
guidelines,,,,,56,11,20%,62.99%,837
quad bikes,,,,,56,11,20%,62.99%,1360
m notices,,,,,56,11,20%,62.99%,1462
coventry,,,,,129,57,44%,62.99%,1252
organisation,,,,,102,40,39%,62.99%,374
working from home tax allowance,/tax-relief-for-employees/working-at-home,3 perfect,3,,175,86,49%,62.99%,12
new rates,,,,,75,23,31%,62.99%,59
enic,,,,,75,23,31%,62.99%,133
utilities,,,,,75,23,31%,62.99%,232
no fault divorce,,,,,121,52,43%,62.99%,317
medicines,,,,,113,47,42%,62.99%,37
tax office reference number,/contact-hmrc,3 perfect,3,,59,13,22%,62.99%,19
eu passport,,,,,78,25,32%,62.99%,771
reapply,,,,,78,25,32%,62.99%,793
current mot,,,,,78,25,32%,62.99%,813
ivf,,,,,78,25,32%,62.99%,1440
check a business,/get-information-about-a-company,3 perfect,3,,51,8,16%,62.99%,762
cetv,,,,,51,8,16%,62.99%,1352
prime minister tax return,/government/publications/prime-minister-rishi-sunaks-schedule-of-taxable-sources-of-income-and-gains,3 perfect,3,,70,20,29%,62.99%,12
ban,,,,,70,20,29%,62.99%,358
2,,,,,89,32,36%,62.99%,951
nda,,,,,89,32,36%,62.99%,1182
gifts to family,,,,,62,15,24%,62.99%,441
visa extention,,,,,62,15,24%,62.99%,709
addresses,,,,,62,15,24%,62.99%,848
farm work,,,,,81,27,33%,62.99%,155
sevacare,,,,,54,10,19%,62.99%,69
csv,,,,,73,22,30%,62.99%,1439
my account,,,,,146,68,47%,62.99%,282
visa sponsorship companies,,,,,119,51,43%,62.99%,707
bed,,,,,57,12,21%,62.99%,683
return brp,,,,,122,53,43%,62.99%,768
register,,,,,95,36,38%,62.99%,794
solar panels,,,,,68,19,28%,62.99%,588
200 pounds alternative fuel payment,,,,,68,19,28%,62.99%,608
gp register,https://www.nhs.uk/service-search,3 perfect,3,,114,48,42%,62.99%,1444
defect,,,,,160,77,48%,62.99%,333
c79 form,,,,,60,14,23%,62.99%,206
automatic,,,,,60,14,23%,62.99%,484
new bin,,,,,60,14,23%,62.99%,672
check you status,,,,,79,26,33%,62.99%,764
get in touch,,,,,79,26,33%,62.99%,922
armageddon alert,,,,,52,9,17%,62.99%,509
telephone contact number,,,,,52,9,17%,62.99%,868
inflation rate,,,,,71,21,30%,62.99%,251
electronic travel authorization,,,,,71,21,30%,62.99%,781
appendix,,,,,71,21,30%,62.99%,820
cds statements,,,,,63,16,25%,62.99%,54
rubbish removal,,,,,63,16,25%,62.99%,517
r40 ppi,,,,,182,91,50%,62.99%,532
tfc,,,,,82,28,34%,62.99%,157
creative industries,,,,,82,28,34%,62.99%,238
contact gov,,,,,55,11,20%,62.99%,867
deloitte,,,,,55,11,20%,62.99%,1253
adaptions,,,,,101,40,40%,62.99%,234
vat contact number,,,,,101,40,40%,62.99%,868
security jobs,,,,,74,23,31%,62.99%,179
track visa application status,,,,,74,23,31%,62.99%,702
student visa work,,,,,74,23,31%,62.99%,707
tier 2 visa sponsorship jobs,,,,,74,23,31%,62.99%,957
laptop,,,,,74,23,31%,62.99%,1320
supermarket voucher,,,,,120,52,43%,62.99%,443
parliament,,,,,93,35,38%,62.99%,310
tech,,,,,166,81,49%,62.99%,235
customs charges,,,,,66,18,27%,62.99%,328
graphic designer,,,,,112,47,42%,62.99%,1199
find a person,,,,,58,13,22%,62.99%,916
make appointment,,,,,58,13,22%,62.99%,917
key worker,,,,,77,25,32%,62.99%,276
bd58 zxf,,,,,77,25,32%,62.99%,1257
public diplomacy,,,,,50,8,16%,62.99%,272
let,,,,,50,8,16%,62.99%,924
brighton,,,,,50,8,16%,62.99%,1207
storage,,,,,123,54,44%,62.99%,615
make a new claim,,,,,96,37,39%,62.99%,58
a2,,,,,69,20,29%,62.99%,1304
jobs in uk,,,,,115,49,43%,62.99%,177
track visa status,,,,,115,49,43%,62.99%,702
sepsis,,,,,88,32,36%,62.99%,122
recycling centre,,,,,88,32,36%,62.99%,417
mistake,,,,,61,15,25%,62.99%,543
marks and spencer,,,,,61,15,25%,62.99%,595
urt number,,,,,61,15,25%,62.99%,865
baker,,,,,61,15,25%,62.99%,1276
late payment,,,,,180,90,50%,62.99%,459
family investment company,,,,,53,10,19%,62.99%,423
unmarried,,,,,53,10,19%,62.99%,1031
forex,,,,,99,39,39%,62.99%,387
tracking my application,,,,,72,22,31%,62.99%,225
register with gp,https://www.nhs.uk/service-search,3 perfect,3,,72,22,31%,62.99%,1444
online form,,,,,118,51,43%,62.99%,205
agile,,,,,118,51,43%,62.99%,1323
children account,,,,,164,80,49%,62.99%,282
laboratory,,,,,64,17,27%,62.99%,27
defined benefit,,,,,64,17,27%,62.99%,78
copy of divorce certificate,,,,,64,17,27%,62.99%,322
child grant,,,,,110,46,42%,62.99%,381
changing bank account,,,,,56,12,21%,62.99%,383
royal,,,,,56,12,21%,62.99%,999
business and industry,,,,,67,19,28%,62.99%,424
wedding certificate,,,,,67,19,28%,62.99%,597
boris johnson,,,,,140,65,46%,62.99%,1253
central heating grant,,,,,86,31,36%,62.99%,415
dda,,,,,59,14,24%,62.99%,1119
public health grant,,,,,105,43,41%,62.99%,182
create sign in details,,,,,105,43,41%,62.99%,756
make payment,,,,,178,89,50%,62.99%,917
traing log,,,,,78,26,33%,62.99%,735
contact information,,,,,78,26,33%,62.99%,867
security officer,,,,,51,9,18%,62.99%,315
award,,,,,51,9,18%,62.99%,380
pay as,/log-in-register-hmrc-online-services,3 perfect,3,,51,9,18%,62.99%,695
send message,/contact-hmrc,2 good,2,,51,9,18%,62.99%,731
bn3,,,,,51,9,18%,62.99%,1193
gmp equalisation,,,,,51,9,18%,62.99%,1345
oxfam,,,,,124,55,44%,62.99%,1153
extremism,,,,,70,21,30%,62.99%,529
lancashire,,,,,116,50,43%,62.99%,1209
government gateaway,,,,,89,33,37%,62.99%,310
innovation,,,,,162,79,49%,62.99%,215
increase,,,,,62,16,26%,62.99%,77
de register,,,,,62,16,26%,62.99%,976
craft,,,,,62,16,26%,62.99%,1200
change of car ownership,,,,,108,45,42%,62.99%,480
sa 370,,,,,108,45,42%,62.99%,1420
young carers,,,,,81,28,35%,62.99%,109
bon visa,,,,,54,11,20%,62.99%,706
tls appointment,,,,,54,11,20%,62.99%,1441
i d check,,,,,54,11,20%,62.99%,1452
ground rent,,,,,127,57,45%,62.99%,409
honey,,,,,127,57,45%,62.99%,648
hazard,,,,,173,86,50%,62.99%,509
administrator,,,,,73,23,32%,62.99%,312
check utr,,,,,73,23,32%,62.99%,930
air bag light,,,,,92,35,38%,62.99%,629
surveillance,,,,,65,18,28%,62.99%,315
vehicle category,,,,,65,18,28%,62.99%,481
somali,,,,,65,18,28%,62.99%,1033
commonwealth,,,,,138,64,46%,62.99%,209
bbc,,,,,111,47,42%,62.99%,943
continuing professional development,,,,,84,30,36%,62.99%,209
how much is my council tax,/council-tax-bands,3 perfect,3,,57,13,23%,62.99%,17
new update,,,,,57,13,23%,62.99%,59
money taken from my universal credit,,,,,57,13,23%,62.99%,433
change owner,,,,,76,25,33%,62.99%,411
group,,,,,149,71,48%,62.99%,375
close business,,,,,95,37,39%,62.99%,424
road testing,,,,,95,37,39%,62.99%,490
probate register,,,,,95,37,39%,62.99%,747
car service,,,,,87,32,37%,62.99%,471
mhra guidance clinical trials,,,,,60,15,25%,62.99%,27
helping hands,,,,,60,15,25%,62.99%,68
p53a form,,,,,60,15,25%,62.99%,202
judgement,,,,,60,15,25%,62.99%,291
document check list,,,,,60,15,25%,62.99%,766
curtailment,,,,,60,15,25%,62.99%,1032
campaigns,,,,,79,27,34%,62.99%,298
seafarer,,,,,152,73,48%,62.99%,1253
local tax office,/government/organisations/hm-revenue-customs/contact/income-tax-enquiries-for-individuals-pensioners-and-employees,2 good,2,,52,10,19%,62.99%,18
local tax office,/contact-hmrc,2 good,2,,52,10,19%,62.99%,18
nice,,,,,52,10,19%,62.99%,566
turkiye,,,,,52,10,19%,62.99%,1253
concordia,,,,,52,10,19%,62.99%,1259
advance loan,,,,,98,39,40%,62.99%,460
raab,,,,,171,85,50%,62.99%,1346
partial re-examination,,,,,71,22,31%,62.99%,198
farm worker,,,,,90,34,38%,62.99%,155
maritime,,,,,90,34,38%,62.99%,496
fish,,,,,90,34,38%,62.99%,642
health and welfare,,,,,63,17,27%,62.99%,183
nil return,,,,,63,17,27%,62.99%,778
register of licenced sponsor,,,,,63,17,27%,62.99%,795
lowell,,,,,63,17,27%,62.99%,1085
ppi tax back,/guidance/claim-a-refund-of-income-tax-deducted-from-savings-and-investments,3 perfect,3,,82,29,35%,62.99%,9
my divorce,,,,,82,29,35%,62.99%,322
visa payment,,,,,82,29,35%,62.99%,709
bmi,,,,,55,12,22%,62.99%,856
letters,,,,,174,87,50%,62.99%,842
deadline,,,,,74,24,32%,62.99%,803
pin,,,,,120,53,44%,62.99%,678
sharp,,,,,93,36,39%,62.99%,567
cryptocurrency,,,,,166,82,49%,62.99%,387
facebook,,,,,66,19,29%,62.99%,760
medical certificate,,,,,112,48,43%,62.99%,36
create ukvi account,,,,,112,48,43%,62.99%,919
confidentiality,,,,,104,43,41%,62.99%,268
tax notification letter,/contact-hmrc,1 okay,1,,77,26,34%,62.99%,18
poi tax refund,/guidance/claim-a-refund-of-income-tax-deducted-from-savings-and-investments,3 perfect,3,,50,9,18%,62.99%,10
900 help,,,,,50,9,18%,62.99%,914
how to,,,,,50,9,18%,62.99%,928
suds,,,,,50,9,18%,62.99%,1048
self employment registration,,,,,96,38,40%,62.99%,196
prn,,,,,96,38,40%,62.99%,1072
asos,,,,,69,21,30%,62.99%,556
school uniform grant,,,,,142,67,47%,62.99%,415
home improvements,,,,,88,33,38%,62.99%,160
travelling with children,,,,,61,16,26%,62.99%,70
print,,,,,61,16,26%,62.99%,815
privacy,,,,,80,28,35%,62.99%,265
pay corp tax,/pay-corporation-tax,3 perfect,3,,53,11,21%,62.99%,8
back to work grant,,,,,53,11,21%,62.99%,62
iso,,,,,53,11,21%,62.99%,514
hand washing,,,,,53,11,21%,62.99%,516
omp money ltd,,,,,53,11,21%,62.99%,564
2017,,,,,53,11,21%,62.99%,986
dcs,,,,,53,11,21%,62.99%,1070
ppl,,,,,53,11,21%,62.99%,1089
artist,,,,,53,11,21%,62.99%,1196
croydon,,,,,126,57,45%,62.99%,1252
health promotion,,,,,99,40,40%,62.99%,183
risk register,,,,,99,40,40%,62.99%,249
tax re,,,,,72,23,32%,62.99%,199
change employer,,,,,72,23,32%,62.99%,804
where do i send my old passport,,,,,118,52,44%,62.99%,173
fire extinguishers,,,,,64,18,28%,62.99%,508
graduate scheme,,,,,110,47,43%,62.99%,401
doha,,,,,56,13,23%,62.99%,1333
parish council,,,,,102,42,41%,62.99%,306
18 digit reference number,,,,,102,42,41%,62.99%,1381
preston,,,,,67,20,30%,62.99%,1207
quantity surveyor,,,,,67,20,30%,62.99%,1349
permanent resident,,,,,159,78,49%,62.99%,415
clearance,,,,,159,78,49%,62.99%,598
apendix 7,,,,,159,78,49%,62.99%,961
tax administration,/government/collections/tax-administration-and-maintenance-spring-2023,3 perfect,3,,59,15,25%,62.99%,4
help with furniture,,,,,59,15,25%,62.99%,68
untaxed interest,,,,,59,15,25%,62.99%,72
scope,,,,,59,15,25%,62.99%,231
plastic bags,,,,,59,15,25%,62.99%,686
temporary passport,,,,,59,15,25%,62.99%,802
covenants,,,,,59,15,25%,62.99%,1045
jewellery,,,,,59,15,25%,62.99%,1199
cheshire,,,,,59,15,25%,62.99%,1209
address to send old passport,,,,,105,44,42%,62.99%,173
frameworks,,,,,78,27,35%,62.99%,231
ptsd,,,,,78,27,35%,62.99%,1334
deed,,,,,151,73,48%,62.99%,1027
period,,,,,51,10,20%,62.99%,95
business start up grant,,,,,51,10,20%,62.99%,637
levy,,,,,97,39,40%,62.99%,1309
unique tax code,/tax-codes,3 perfect,3,,70,22,31%,62.99%,20
re-examination,,,,,70,22,31%,62.99%,198
svb,,,,,70,22,31%,62.99%,1417
break,,,,,143,68,48%,62.99%,515
ppe portal,,,,,89,34,38%,62.99%,800
open a business,,,,,62,17,27%,62.99%,420
ani,,,,,62,17,27%,62.99%,622
find school,,,,,108,46,43%,62.99%,916
pay your cooperation tax,/pay-corporation-tax,3 perfect,3,,54,12,22%,62.99%,8
restaurants,,,,,54,12,22%,62.99%,165
agriculture jobs,,,,,54,12,22%,62.99%,179
fiscal policy,,,,,54,12,22%,62.99%,273
stop smoking,,,,,65,19,29%,62.99%,134
pip loans,,,,,65,19,29%,62.99%,248
gov uk id,,,,,65,19,29%,62.99%,1449
claim a repayment,,,,,111,48,43%,62.99%,367
fluorescent,,,,,57,14,25%,62.99%,127
complain about universal credit,,,,,57,14,25%,62.99%,461
lasting power of attorny,,,,,130,60,46%,62.99%,326
tracking my visa,,,,,103,43,42%,62.99%,702
do not pay actions,,,,,95,38,40%,62.99%,368
ask hrmc,/contact-hmrc,3 perfect,3,,95,38,40%,62.99%,921
repeat prescription,,,,,68,21,31%,62.99%,131
pre payment prescription,,,,,68,21,31%,62.99%,244
nhs pension forecast,,,,,68,21,31%,62.99%,586
diabetic,,,,,87,33,38%,62.99%,122
single person discount,,,,,60,16,27%,62.99%,79
thurrock council,,,,,60,16,27%,62.99%,306
pd1,,,,,60,16,27%,62.99%,1132
ambulance,,,,,133,62,47%,62.99%,508
care assistant,,,,,79,28,35%,62.99%,191
occupational therapist,,,,,52,11,21%,62.99%,34
dental nurse apprenticeship,,,,,52,11,21%,62.99%,111
